NIST_index,NIST_index,du_index,noor_index,Enzyme:,KEGG Reaction:,CID Reaction:,EC Value:,Reaction:,Reference:,Reference ID:,T [K],pH,Keq,Ionic strength [molal],Experimental conditions,solutes [molal],Buffer:,Ionic strength [mol/dm^3],-log[Mg+2],Km',Enthalpy [kJ/mol],Method:,solutes [mol/dm^3]
1794,1794, , , phosphogluconate dehydrogenase (decarboxylating), , ,1.1.1.44, 6-phospho-D-gluconate(aq) + NADP(aq) + H2O(l) = D-ribulose 5-phosphate(aq) + NADPH(aq) + carbon dioxide(aq),Villet R.H.; Dalziel K.; Biochem. J.; 115 633 (1969).,69VIL/DAL_157,298.15,6.95,0.075, , , , KHCO3,0.350, , , , spectrophotometry and pressure measurements, 
1795,1795, , , phosphogluconate dehydrogenase (decarboxylating), , ,1.1.1.44, 6-phospho-D-gluconate(aq) + NADP(aq) + H2O(l) = D-ribulose 5-phosphate(aq) + NADPH(aq) + carbon dioxide(aq),Villet R.H.; Dalziel K.; Biochem. J.; 115 633 (1969).,69VIL/DAL_157,298.15,6.95,0.069, , , , KHCO3,0.450, , , , spectrophotometry and pressure measurements, 
1796,1796, , , phosphogluconate dehydrogenase (decarboxylating), , ,1.1.1.44, 6-phospho-D-gluconate(aq) + NADP(aq) + H2O(l) = D-ribulose 5-phosphate(aq) + NADPH(aq) + carbon dioxide(aq),Villet R.H.; Dalziel K.; Biochem. J.; 115 633 (1969).,69VIL/DAL_157,298.15,7.30,0.079, , , , KHCO3,0.048, , , , spectrophotometry and pressure measurements, 
1797,1797, , , phosphogluconate dehydrogenase (decarboxylating), , ,1.1.1.44, 6-phospho-D-gluconate(aq) + NADP(aq) + H2O(l) = D-ribulose 5-phosphate(aq) + NADPH(aq) + carbon dioxide(aq),Villet R.H.; Dalziel K.; Biochem. J.; 115 633 (1969).,69VIL/DAL_157,298.15,7.70,0.074, , , , KHCO3,0.120, , , , spectrophotometry and pressure measurements, 
1798,1798, , , fumarate hydratase, , ,4.2.1.2, fumarate(aq) + H2O(l) = (S)-malate(aq),Wang C.C.; Barker H.S.; J. Biol. Chem.; 244 2516 (1969).,69WAN/BAR_1151,298.15,8.2, , , , , Tris (0.050 mol dm-3) + HCl, , , , , spectrophotometry, 
1799,1799, , , (S)-2-methylmalate dehydratase, , ,4.2.1.34, (S)-2-methylmalate(aq) = 2-methylfumarate(aq) + H2O(l),Wang C.C.; Barker H.S.; J. Biol. Chem.; 244 2516 (1969).,69WAN/BAR_1191,298.15,8.2, , , , , Tris (0.050 mol dm-3) + HCl, , , , , spectrophotometry, 
1800,1800, , , diaminopimelate epimerase, , ,5.1.1.7," L,L-2,6-diaminoheptanedioate(aq) = meso-diaminoheptanedioate(aq)",White P.J.; Lejeune B.; Work E.; Biochem. J.; 113 589 (1969).,69WHI/LEJ_1239,310.15,7.0, , , , , phosphate (0.1 mol dm-3), , , , , manometry and spectrophotometry, 
1801,1801, , , nucleoside-triphosphate-adenylate kinase, , ,2.7.4.10, GTP(aq) + AMP(aq) = ADP(aq) + GDP(aq),Albrecht G.J.; Biochemistry; 9 2462 (1970).,70ALB_670,298.15,8.5, , , , , triethanolamine (0.05 mol dm-3) + HCl, , , , , enzymatic assay, 
1802,1802, ,3117, shikimate dehydrogenase,kegg:C00493 + kegg:C00006 = kegg:C02637 + kegg:C00005, ,4.3.1.1 & 1.1.1.25, shikimate(aq) + NADP(aq) = 5-dehydroshikimate(aq) + NADPH(aq),Balinsky D.; Dennis A.W.; Methods Enzymol.; 17A 354 (1970).,70BAL/DEN_84,298.15,7.6, , ,nan = -log[Mg+2], , ,, , , , chemical analysis and spectrophotometry, 
1803,1803, , , glucosamine-6-phosphate isomerase, , ,5.3.1.10, D-glucosamine 6-phosphate(aq) + H2O(l) = D-fructose 6-phosphate(aq) + ammonia(aq),Benson R.L.; Friedman S.; J. Biol. Chem.; 245 2219 (1970).,70BEN/FRI_1367,310.15,8.5,~0.15, , , , Tris (0.050 mol dm-3) + HCl, , , , , spectrophotometry, 
1804,1804, , , adenylate kinase, , ,2.7.4.3, 2 ADP(aq) = AMP(aq) + ATP(aq),Blair J.McD.; Eur. J. Biochem.; 13 384 (1970).,70BLA_644,298.15,7.5, , , , , triethanolaminehydrochloride (0.01 mol dm-3) + tetramethylammonium hydroxide, , , , , anion exchange chromatography, 
1805,1805, , , adenylate kinase, , ,2.7.4.3, 2 ADP(aq) = AMP(aq) + ATP(aq),Blair J.McD.; Eur. J. Biochem.; 13 384 (1970).,70BLA_644,298.15,7.5, , , , , triethanolaminehydrochloride (0.01 mol dm-3) + tetramethylammonium hydroxide, , , , , anion exchange chromatography, 
1806,1806, , , adenylate kinase, , ,2.7.4.3, 2 ADP(aq) = AMP(aq) + ATP(aq),Blair J.McD.; Eur. J. Biochem.; 13 384 (1970).,70BLA_644,298.15,7.5, , , , , triethanolaminehydrochloride (0.01 mol dm-3) + tetramethylammonium hydroxide, , , , , anion exchange chromatography, 
1807,1807, , , adenylate kinase, , ,2.7.4.3, 2 ADP(aq) = AMP(aq) + ATP(aq),Blair J.McD.; Eur. J. Biochem.; 13 384 (1970).,70BLA_644,298.15,7.5, , , , , triethanolaminehydrochloride (0.01 mol dm-3) + tetramethylammonium hydroxide, , , , , anion exchange chromatography, 
1808,1808, , , adenylate kinase, , ,2.7.4.3, 2 ADP(aq) = AMP(aq) + ATP(aq),Blair J.McD.; Eur. J. Biochem.; 13 384 (1970).,70BLA_644,298.15,7.5, , , , , triethanolaminehydrochloride (0.01 mol dm-3) + tetramethylammonium hydroxide, , , , , anion exchange chromatography, 
1809,1809, , , adenylate kinase, , ,2.7.4.3, 2 ADP(aq) = AMP(aq) + ATP(aq),Blair J.McD.; Eur. J. Biochem.; 13 384 (1970).,70BLA_644,298.15,7.5, , , , , triethanolaminehydrochloride (0.01 mol dm-3) + tetramethylammonium hydroxide, , , , , anion exchange chromatography, 
1810,1810, , , adenylate kinase, , ,2.7.4.3, 2 ADP(aq) = AMP(aq) + ATP(aq),Blair J.McD.; Eur. J. Biochem.; 13 384 (1970).,70BLA_644,298.15,7.5, , , , , triethanolaminehydrochloride (0.01 mol dm-3) + tetramethylammonium hydroxide, , , , , anion exchange chromatography, 
1811,1811, , , adenylate kinase, , ,2.7.4.3, 2 ADP(aq) = AMP(aq) + ATP(aq),Blair J.McD.; Eur. J. Biochem.; 13 384 (1970).,70BLA_644,298.15,7.5, , , , , triethanolaminehydrochloride (0.01 mol dm-3) + tetramethylammonium hydroxide, , , , , anion exchange chromatography, 
1812,1812, , , adenylate kinase, , ,2.7.4.3, 2 ADP(aq) = AMP(aq) + ATP(aq),Blair J.McD.; Eur. J. Biochem.; 13 384 (1970).,70BLA_644,298.15,7.5, , , , , triethanolaminehydrochloride (0.01 mol dm-3) + tetramethylammonium hydroxide, , , , , anion exchange chromatography, 
1813,1813, , , adenylate kinase, , ,2.7.4.3, 2 ADP(aq) = AMP(aq) + ATP(aq),Blair J.McD.; Eur. J. Biochem.; 13 384 (1970).,70BLA_644,298.15,7.5, , , , , triethanolaminehydrochloride (0.01 mol dm-3) + tetramethylammonium hydroxide, , , , , anion exchange chromatography, 
1814,1814, , , adenylate kinase, , ,2.7.4.3, 2 ADP(aq) = AMP(aq) + ATP(aq),Blair J.McD.; Eur. J. Biochem.; 13 384 (1970).,70BLA_644,298.15,7.5, , , , , triethanolaminehydrochloride (0.01 mol dm-3) + tetramethylammonium hydroxide, , , , , anion exchange chromatography, 
1815,1815, , , adenylate kinase, , ,2.7.4.3, 2 ADP(aq) = AMP(aq) + ATP(aq),Blair J.McD.; Eur. J. Biochem.; 13 384 (1970).,70BLA_644,298.15,7.5, , , , , triethanolaminehydrochloride (0.01 mol dm-3) + tetramethylammonium hydroxide, , , , , anion exchange chromatography, 
1816,1816, , , adenylate kinase, , ,2.7.4.3, 2 ADP(aq) = AMP(aq) + ATP(aq),Blair J.McD.; Eur. J. Biochem.; 13 384 (1970).,70BLA_644,298.15,7.5, , , , , triethanolaminehydrochloride (0.01 mol dm-3) + tetramethylammonium hydroxide, , , , , anion exchange chromatography, 
1817,1817, , , adenylate kinase, , ,2.7.4.3, 2 ADP(aq) = AMP(aq) + ATP(aq),Blair J.McD.; Eur. J. Biochem.; 13 384 (1970).,70BLA_644,298.15,7.5, , , , , triethanolaminehydrochloride (0.01 mol dm-3) + tetramethylammonium hydroxide, , , , , anion exchange chromatography, 
1818,1818, , , adenylate kinase, , ,2.7.4.3, 2 ADP(aq) = AMP(aq) + ATP(aq),Blair J.McD.; Eur. J. Biochem.; 13 384 (1970).,70BLA_644,298.15,7.5, , , , , triethanolaminehydrochloride (0.01 mol dm-3) + tetramethylammonium hydroxide, , , , , anion exchange chromatography, 
1819,1819, , , alanine aminotransferase, , ,2.6.1.2, L-alanine(aq) + 2-oxoglutarate(aq) = pyruvate(aq) + L-glutamate(aq),Brosnan J.T.; Krebs H.A.; Williamson D.H.; Biochem. J.; 117 91 (1970).,70BRO/KRE_512,311.15,7.0, , , , , phosphate (0.1 mol dm-3),0.25, , , , spectrophotometry, 
1820,1820, , ," lysine 2,3-aminomutase", , ,5.4.3.2," L-lysine(aq) = (3S)-3,6-diaminohexanoate(aq)",Chirpich T.P.; Zappia V.; Costilow R.N.; Barker H.A.; J. Biol. Chem.; 245 1778 (1970).,70CHI/ZAP_1416,310.15,7.8, , , , , Tris (0.025 mol dm-3) + HCl, , , , , radioactivity, 
1821,1821, ,3025, alkaline phosphatase,kegg:C00227 + kegg:C00001 = kegg:C00033 + kegg:C00009, ,4.3.1.1 & 3.1.3.1, acetyl phosphate2-(aq) + H2O(l) = acetate-(aq) + HPO42-(aq),George P.; Witonsky R.J.; Trachtman M.; Wu C.; Dowart W.; Richman L.; Richman W.; Shurayh F.; Lentz B; Biochim. Biophys. Acta; 226 1 (1970).,70GEO/WIT_755,298.15, , , ,nan = -log[Mg+2], , ,, , , , chemical analysis and calorimetry, 
1822,1822, ,3035, alkaline phosphatase,kegg:C00020 + kegg:C00001 = kegg:C00212 + kegg:C00009, ,4.3.1.1 & 3.1.3.1, AMP2--(aq) + H2O(l) = adenosine(aq) + HPO42-(aq),George P.; Witonsky R.J.; Trachtman M.; Wu C.; Dowart W.; Richman L.; Richman W.; Shurayh F.; Lentz B; Biochim. Biophys. Acta; 226 1 (1970).,70GEO/WIT_758,298.15, , , ,nan = -log[Mg+2], , ,0, , , , chemical analysis and enzymatic assay and chromatography, 
1823,1823, , , alkaline phosphatase, , ,3.1.3.1, D-glucose 6-phosphate2-(aq) + H2O(l) = D-glucose(aq) + HPO42-(aq),George P.; Witonsky R.J.; Trachtman M.; Wu C.; Dowart W.; Richman L.; Richman W.; Shurayh F.; Lentz B; Biochim. Biophys. Acta; 226 1 (1970).,70GEO/WIT_777,298.15, , , , , , , , , , , calorimetry, 
1824,1824, ,1915, alkaline phosphatase,kegg:C00074 + kegg:C00001 = kegg:C00022 + kegg:C00009, ,4.3.1.1 & 3.1.3.1, phosphoenolpyruvate3-(aq) + H2O(l) = pyruvate-(aq) + HPO42-(aq),George P.; Witonsky R.J.; Trachtman M.; Wu C.; Dowart W.; Richman L.; Richman W.; Shurayh F.; Lentz B; Biochim. Biophys. Acta; 226 1 (1970).,70GEO/WIT_806,298.15, , , ,nan = -log[Mg+2], , ,, , , , chemical analysis and calorimetry, 
1825,1825, , , N-methyl-2-oxoglutaramate hydrolase, , ,3.5.1.36, 5-hydroxy-N-methylpyroglutamate(aq) + H2O(l) = 2-oxoglutarate(aq) + methylamine(aq),Hersh L.B.; J. Biol. Chem.; 245 3526 (1970).,70HER_1035,303.15,8.0,2E-3, , , , Tricine (0.2 mol dm-3), , , , , enzymatic assay, 
1826,1826, , , mannose isomerase, , ,5.3.1.7, D-mannose(aq) = D-fructose(aq),Hey-Ferguson A.; Elbein A.D.; J. Bacteriol.; 101 777 (1970).,70HEY/ELB_1343,310.15,7.5, , , , , Tris + maleate, , , , , spectrophotometry and chemical analysis, 
1827,1827, , , branched-chain-amino-acid transaminase, , ,2.6.1.42, L-leucine(aq) + 2-oxoglutarate(aq) = 4-methyl-2-oxopentanooate(aq) + L-glutamate(aq),Jenkins W.T.; Taylor W.T.; Methods Enzymol.; 17A 802 (1970),70JEN/TAY_536,310.15,8.3, , , , , Tris, , , , , spectrophotometry, 
1828,1828, , , UTP-glucose-1-phosphate uridylyltransferase, , ,2.7.7.9, UTP(aq) + Î±-D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq),Knop J.K.; Hansen R.G.; J. Biol. Chem.; 245 2499 (1970).,70KNO/HAN_690,303.15,7.8, , , , , Tris acetate (0.10 mol dm-3), , , , , , 
1829,1829, , , glyoxylate reductase, , ,1.1.1.26, glycolate(aq) + NAD(aq) = glyoxylate(aq) + NADH(aq),Kohn L.D.; Warren W.A.; J. Biol. Chem.; 245 3831 (1970).,70KOH/WAR_91,298.15,8.50, , , , , (Tris + HCl) and phosphate, , , , , spectrophotometry, 
1830,1830, , , glyoxylate reductase, , ,1.1.1.26, glycolate(aq) + NAD(aq) = glyoxylate(aq) + NADH(aq),Kohn L.D.; Warren W.A.; J. Biol. Chem.; 245 3831 (1970).,70KOH/WAR_91,298.15,8.50, , , , , (Tris + HCl) and phosphate + Tris + HCl, , , , , spectrophotometry, 
1831,1831, , , glyoxylate reductase, , ,1.1.1.26, glycolate(aq) + NAD(aq) = glyoxylate(aq) + NADH(aq),Kohn L.D.; Warren W.A.; J. Biol. Chem.; 245 3831 (1970).,70KOH/WAR_91,298.15,8.83, , , , , (Tris + HCl) and phosphate + Tris + HCl, , , , , spectrophotometry, 
1832,1832, , , phosphoglycerate kinase, , ,2.7.2.3, ATP(aq) + 3-phospho-D-glycerate(aq) = ADP(aq) + 3-phospho-D-glyceroyl phosphate(aq),Krietsch W.K.G.; B|cher T.; Eur. J. Biochem.; 17 568 (1970).,70KRI/BUC_579,298.15,7.6, , , , , triethanolamine (0.080 mol dm-3), , , , , spectrophotometry, 
1833,1833, , , [glutamate-ammonia-ligase] adenylyltransferase, , ,2.7.7.42, ATP(aq) + [L-glutamate:ammonia ligase(ADP-forming)](aq) = pyrophosphate(aq) + adenylyl-[L-glutamate:ammonia ligase(ADP-forming)](aq),Mantel M.; Holzer H.; Proc. Natl. Acad. Sci. USA; 65 660 (1970).,70MAN/HOL_708,303.15,7.36, , , , , Tris (0.1 mol dm-3) + HCl, , , , , , 
1834,1834, , , 2-aminoadipate transaminase, , ,2.6.1.39, L-2-aminoadipate(aq) + 2-oxoglutarate(aq) = 2-oxoadipate(aq) + L-glutamate(aq),Nakatani Y.; Fujioka M.; Higashino K.; Biochim. Biophys. Acta; 198 219 (1970).,70NAK/FUJ_535,310.15,7.5, , , , , phosphate (0.17 mol dm-3), , , , , spectrophotometry, 
1835,1835, ,518, diiodophenylpyruvate reductase,kegg:C04367 + kegg:C00003 = kegg:C01244 + kegg:C00004, ,4.3.1.1 & 1.1.1.96," Î²-(3,5-diiodo-4-hydroxyphenyl)lactate(aq) + NAD(aq) = Î²-(3,5-diiodo-4-hydroxyphenyl)pyruvate(aq) + NADH(aq)",Nakano M.; Tsutsumi Y.; Danowski T.S.; J. Biol. Chem.; 245 4443 (1970).,70NAK/TSU_205,298.15,6.5, , ,nan = -log[Mg+2], , phosphate (0.080 mol dm-3),, , , , chemical analysis and spectrophotometry, 
1836,1836, , , UDPglucose 4-epimerase, , ,5.1.3.2, UDPglucose(aq) = UDPgalactose(aq),Tsai C.M.; Holmberg N.; Ebner K.E.; Archiv. Biochem. Biophys.; 136 233 (1970).,70TSA/HOL_1255,298.15,8.7, , , , , glycine (0.1 mol dm-3) + NaOH, , , , , spectrophotometry, 
1837,1837, , ," 2,4-diaminopentanoate dehydrogenase", , ,1.4.1.12," 2,4-diaminopentanoate(aq) + NAD(aq) + H2O(l) = 2-amino-4-oxopentanoate(aq) + NADH(aq) + ammonia(aq)",Tsuda Y.; Friedman H.C.; J. Biol. Chem.; 245 5914 (1970).,70TSU/FRI_291,301.15,8.75,3.24E-4, , , , sodium pyrophosphate (0.050 mol dm-3), , , , , spectrophotometry, 
1838,1838, , , glyceraldehyde-3-phocphate dehydrogenase and phosphoglycerate kinase, , ,1.2.1.12 & 1.2.1.12, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),Veech R.L.; Raijman L.; Krebs H.A.; Biochem. J.; 117 499 (1970).,70VEE/RAI_257,311.15,7.00,59, , , , phosphate, , , , , spectrophotometry, 
1839,1839, , , glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, , ,1.2.1.12 & 1.2.1.12, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),Veech R.L.; Raijman L.; Krebs H.A.; Biochem. J.; 117 499 (1970).,70VEE/RAI_584,311.15,7.00,59, , , , phosphate, , , , , spectrophotometry, 
1840,1840, , , glucose-6-phosphate dehydrogenase, , ,1.1.1.49," D-glucose 6-phosphate(aq) + NADP(aq) = D-glucono-1,5-lactone 6-phosphate(aq) + NADPH(aq)",Wurster B.; Hess B.; Hoppe-Seyler's Z. Physiol. Chem.; 351 1537 (1970).,70WUR/HES_163,298.15,6.4, , , , , imidazole (0.050 mol dm-3) + HCl, , , , , spectrophotometry, 
1841,1841, , , glucose-6-phosphate dehydrogenase, , ,1.1.1.49," D-glucose 6-phosphate(aq) + NADP(aq) = D-glucono-1,5-lactone 6-phosphate(aq) + NADPH(aq)",Wurster B.; Hess B.; Hoppe-Seyler's Z. Physiol. Chem.; 351 1537 (1970).,70WUR/HES_163,298.15,7.6, , , , , imidazole (0.050 mol dm-3) + HCl, , , , , spectrophotometry, 
1842,1842, , , glucose-6-phosphate isomerase, , ,5.3.1.9, D-glucose 6-phosphate(aq) = D-fructose 6-phosphate(aq),Wurster B.; Schneider F.; Hoppe-Seyler's Z. Physiol. Chem.; 351 961 (1970).,70WUR/SCH_1359,298.15,6.4, , , , , imidazole (0.050 mol dm-3) + HCl, , , , , enzymatic assay, 
1843,1843, , , creatine kinase, , ,2.7.3.2, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Chetverikova E.P.; Alievskaya L.L.; Krinskaya A.V.; Biokhimiya (Moscow); 36 717 (1971).,71CHE/ALI_597,303.15,7.0, , , , , Tris (0.025 mol dm-3) + HCl, , , , , chemical analysis, 
1844,1844, , , creatine kinase, , ,2.7.3.2, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Chetverikova E.P.; Alievskaya L.L.; Krinskaya A.V.; Biokhimiya (Moscow); 36 717 (1971).,71CHE/ALI_597,303.15,7.0, , , , , Tris (0.025 mol dm-3) + HCl, , , , , chemical analysis, 
1845,1845, , , creatine kinase, , ,2.7.3.2, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Chetverikova E.P.; Alievskaya L.L.; Krinskaya A.V.; Biokhimiya (Moscow); 36 717 (1971).,71CHE/ALI_597,303.15,7.0, , , , , Tris (0.025 mol dm-3) + HCl, , , , , chemical analysis, 
1846,1846, , , creatine kinase, , ,2.7.3.2, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Chetverikova E.P.; Alievskaya L.L.; Krinskaya A.V.; Biokhimiya (Moscow); 36 717 (1971).,71CHE/ALI_597,303.15,7.0, , , , , Tris (0.025 mol dm-3) + HCl, , , , , chemical analysis, 
1847,1847, , , creatine kinase, , ,2.7.3.2, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Chetverikova E.P.; Alievskaya L.L.; Krinskaya A.V.; Biokhimiya (Moscow); 36 717 (1971).,71CHE/ALI_597,303.15,7.0, , , , , Tris (0.025 mol dm-3) + HCl, , , , , chemical analysis, 
1848,1848, , , creatine kinase, , ,2.7.3.2, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Chetverikova E.P.; Alievskaya L.L.; Krinskaya A.V.; Biokhimiya (Moscow); 36 717 (1971).,71CHE/ALI_597,303.15,7.0, , , , , Tris (0.025 mol dm-3) + HCl, , , , , chemical analysis, 
1849,1849, , , creatine kinase, , ,2.7.3.2, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Chetverikova E.P.; Alievskaya L.L.; Krinskaya A.V.; Biokhimiya (Moscow); 36 717 (1971).,71CHE/ALI_597,303.15,7.0, , , , , Tris (0.025 mol dm-3) + HCl, , , , , chemical analysis, 
1850,1850, , , creatine kinase, , ,2.7.3.2, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Chetverikova E.P.; Alievskaya L.L.; Krinskaya A.V.; Biokhimiya (Moscow); 36 717 (1971).,71CHE/ALI_597,303.15,7.0, , , , , Tris (0.025 mol dm-3) + HCl, , , , , chemical analysis, 
1851,1851, , , creatine kinase, , ,2.7.3.2, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Chetverikova E.P.; Alievskaya L.L.; Krinskaya A.V.; Biokhimiya (Moscow); 36 717 (1971).,71CHE/ALI_597,303.15,7.0, , , , , Tris (0.025 mol dm-3) + HCl, , , , , chemical analysis, 
1852,1852, , , creatine kinase, , ,2.7.3.2, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Chetverikova E.P.; Alievskaya L.L.; Krinskaya A.V.; Biokhimiya (Moscow); 36 717 (1971).,71CHE/ALI_597,303.15,7.0, , , , , Tris (0.025 mol dm-3) + HCl, , , , , chemical analysis, 
1853,1853, , , creatine kinase, , ,2.7.3.2, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Chetverikova E.P.; Alievskaya L.L.; Krinskaya A.V.; Biokhimiya (Moscow); 36 717 (1971).,71CHE/ALI_597,303.15,7.0, , , , , Tris (0.025 mol dm-3) + HCl, , , , , chemical analysis, 
1854,1854, , , creatine kinase, , ,2.7.3.2, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Chetverikova E.P.; Alievskaya L.L.; Krinskaya A.V.; Biokhimiya (Moscow); 36 717 (1971).,71CHE/ALI_597,303.15,7.0, , , , , Tris (0.025 mol dm-3) + HCl, , , , , chemical analysis, 
1855,1855, , , creatine kinase, , ,2.7.3.2, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Chetverikova E.P.; Alievskaya L.L.; Krinskaya A.V.; Biokhimiya (Moscow); 36 717 (1971).,71CHE/ALI_597,303.15,7.0, , , , , Tris (0.025 mol dm-3) + HCl, , , , , chemical analysis, 
1856,1856, , , creatine kinase, , ,2.7.3.2, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Chetverikova E.P.; Alievskaya L.L.; Krinskaya A.V.; Biokhimiya (Moscow); 36 717 (1971).,71CHE/ALI_597,303.15,7.0, , , , , Tris (0.025 mol dm-3) + HCl, , , , , chemical analysis, 
1857,1857, , , cytidine deaminase, , ,3.5.4.5, cytidine(aq) + H2O(l) = uridine(aq) + ammonia(aq),Cohen R.M.; Wolfenden R.; J. Biol. Chem.; 246 7566 (1971).,71COH/WOL_1054,298.15,10.69,2.43E3, , , , ammonia (2.0 mol dm-3) + HCl, , , , , spectrophotometry, 
1858,1858, , , cytidine deaminase, , ,3.5.4.5, cytidine(aq) + H2O(l) = uridine(aq) + ammonia(aq),Cohen R.M.; Wolfenden R.; J. Biol. Chem.; 246 7566 (1971).,71COH/WOL_1054,298.15,7.00,1.03E4, , , , ammonia (2.0 mol dm-3) + HCl, , , , , spectrophotometry, 
1859,1859, , , cytidine deaminase, , ,3.5.4.5, cytidine(aq) + H2O(l) = uridine(aq) + ammonia(aq),Cohen R.M.; Wolfenden R.; J. Biol. Chem.; 246 7566 (1971).,71COH/WOL_1054,298.15,7.92,1.86E3, , , , ammonia (2.0 mol dm-3) + HCl, , , , , spectrophotometry, 
1860,1860, , , cytidine deaminase, , ,3.5.4.5, cytidine(aq) + H2O(l) = uridine(aq) + ammonia(aq),Cohen R.M.; Wolfenden R.; J. Biol. Chem.; 246 7566 (1971).,71COH/WOL_1054,298.15,8.48,6.22E2, , , , ammonia (2.0 mol dm-3) + HCl, , , , , spectrophotometry, 
1861,1861, , , cytidine deaminase, , ,3.5.4.5, cytidine(aq) + H2O(l) = uridine(aq) + ammonia(aq),Cohen R.M.; Wolfenden R.; J. Biol. Chem.; 246 7566 (1971).,71COH/WOL_1054,298.15,8.84,3.79E2, , , , ammonia (2.0 mol dm-3) + HCl, , , , , spectrophotometry, 
1862,1862, , , cytidine deaminase, , ,3.5.4.5, cytidine(aq) + H2O(l) = uridine(aq) + ammonia(aq),Cohen R.M.; Wolfenden R.; J. Biol. Chem.; 246 7566 (1971).,71COH/WOL_1054,298.15,9.31,3.18E2, , , , ammonia (2.0 mol dm-3) + HCl, , , , , spectrophotometry, 
1863,1863, , , cytidine deaminase, , ,3.5.4.5, cytidine(aq) + H2O(l) = uridine(aq) + ammonia(aq),Cohen R.M.; Wolfenden R.; J. Biol. Chem.; 246 7566 (1971).,71COH/WOL_1054,298.15,9.77,4.39E2, , , , ammonia (2.0 mol dm-3) + HCl, , , , , spectrophotometry, 
1864,1864, , , cytidine deaminase, , ,3.5.4.5, N4-methylcytidine(aq) + H2O(l) = uridine(aq) + methylamine(aq),Cohen R.M.; Wolfenden R.; J. Biol. Chem.; 246 7566 (1971).,71COH/WOL_1055,298.15,10.17,21, , , , methylamine (0.32 mol dm-3) + HCl, , , , , spectrophotometry, 
1865,1865, , , cytidine deaminase, , ,3.5.4.5, N4-methylcytidine(aq) + H2O(l) = uridine(aq) + methylamine(aq),Cohen R.M.; Wolfenden R.; J. Biol. Chem.; 246 7566 (1971).,71COH/WOL_1055,298.15,10.60,37, , , , methylamine (0.32 mol dm-3) + HCl, , , , , spectrophotometry, 
1866,1866, , , cytidine deaminase, , ,3.5.4.5, N4-methylcytidine(aq) + H2O(l) = uridine(aq) + methylamine(aq),Cohen R.M.; Wolfenden R.; J. Biol. Chem.; 246 7566 (1971).,71COH/WOL_1055,298.15,11.00,163, , , , methylamine (0.32 mol dm-3) + HCl, , , , , spectrophotometry, 
1867,1867, , , cytidine deaminase, , ,3.5.4.5, N4-methylcytidine(aq) + H2O(l) = uridine(aq) + methylamine(aq),Cohen R.M.; Wolfenden R.; J. Biol. Chem.; 246 7566 (1971).,71COH/WOL_1055,298.15,7.50,488, , , , methylamine (0.32 mol dm-3) + HCl, , , , , spectrophotometry, 
1868,1868, , , cytidine deaminase, , ,3.5.4.5, N4-methylcytidine(aq) + H2O(l) = uridine(aq) + methylamine(aq),Cohen R.M.; Wolfenden R.; J. Biol. Chem.; 246 7566 (1971).,71COH/WOL_1055,298.15,8.87,43, , , , methylamine (0.32 mol dm-3) + HCl, , , , , spectrophotometry, 
1869,1869, , , cytidine deaminase, , ,3.5.4.5, N4-methylcytidine(aq) + H2O(l) = uridine(aq) + methylamine(aq),Cohen R.M.; Wolfenden R.; J. Biol. Chem.; 246 7566 (1971).,71COH/WOL_1055,298.15,9.50,22, , , , methylamine (0.32 mol dm-3) + HCl, , , , , spectrophotometry, 
1870,1870, , , choline O-acetyltransferase, , ,2.3.1.6, acetyl-CoA(aq) + choline(aq) = CoA(aq) + O-acetylcholine(aq),Glover V.A.S.; Potter L.T.; J. Neurochem.; 18 571 (1971).,71GLO/POT_387,310.15,7.2, , , , , phosphate (0.010 mol dm-3), , , , , spectrophotometry, 
